日期,时间,标签,时长(分钟)
2025-11-18,10:40:23,数学,86.1
2025-11-17,21:28:03,复习,85.2
2025-11-17,19:33:33,复习,10.0
2025-11-17,12:06:28,数学,140.9
2025-11-16,19:33:30,英语,46.2
2025-11-16,18:34:19,做题,15.3
2025-11-16,18:18:53,408,24.3
2025-11-16,17:42:58,408,29.0
2025-11-16,17:01:24,408,47.5
2025-11-16,16:13:46,做题,22.4
2025-11-16,14:24:28,408,26.6
2025-11-16,13:41:26,复习,40.2
2025-11-16,12:59:59,数学,79.9
2025-11-16,11:39:29,数学,39.2
2025-11-18,09:04:15,做题,26.2
2025-11-18,12:22:03,复习,56.6
2025-11-18,12:59:21,背诵,12.2
2025-11-18,13:36:18,408,28.6
2025-11-18,14:09:01,复习,29.9
2025-11-18,14:55:44,做题,15.3
2025-11-18,15:37:01,复习,40.4
2025-11-18,16:49:36,408,38.3
